citation_id,genus,pipiens_complex? ,(sub)species,ecotype,species_id,reasoning_species_id,experiment_id,experiment_distinguisher,distinguisher_value,figure,temperature,trait,statistic,SD,SE,extraction_note,food,blood_source,humidity,photoperiod (L:D),mosquito_origin,location_collect,time_in_lab,lab_origin,pre_experiment_setup,Notes
Reisen_1992,Culex,no,tarsalis,NA,Ctar,unambigious,1,species,Ctar,Figure 5,10,14.29,median,NA,NA,calculated inverse of rate,NA,restrained chick,NA,14:10,lab,NA,NA,laboratory colonies originating from Kern County,unclear,
Reisen_1992,Culex,no,tarsalis,NA,Ctar,unambigious,1,species,Ctar,Figure 5,15,8.33,median,NA,NA,calculated inverse of rate,NA,restrained chick,NA,14:10,lab,NA,NA,laboratory colonies originating from Kern County,unclear,
Reisen_1992,Culex,no,tarsalis,NA,Ctar,unambigious,1,species,Ctar,Figure 5,20,4.35,median,NA,NA,calculated inverse of rate,NA,restrained chick,NA,14:10,lab,NA,NA,laboratory colonies originating from Kern County,unclear,
Reisen_1992,Culex,no,tarsalis,NA,Ctar,unambigious,1,species,Ctar,Figure 5,25,4,median,NA,NA,calculated inverse of rate,NA,restrained chick,NA,14:10,lab,NA,NA,laboratory colonies originating from Kern County,unclear,
Reisen_1992,Culex,no,tarsalis,NA,Ctar,unambigious,1,species,Ctar,Figure 5,30,5.26,median,NA,NA,calculated inverse of rate,NA,restrained chick,NA,14:10,lab,NA,NA,laboratory colonies originating from Kern County,unclear,
Reisen_1992,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,2,species,Cqui,Figure 5,10,25,median,NA,NA,calculated inverse of rate,NA,restrained chick,NA,14:10,lab,NA,NA,laboratory colonies originating from Kern County,unclear,
Reisen_1992,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,2,species,Cqui,Figure 5,15,14.29,median,NA,NA,calculated inverse of rate,NA,restrained chick,NA,14:10,lab,NA,NA,laboratory colonies originating from Kern County,unclear,
Reisen_1992,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,2,species,Cqui,Figure 5,20,9.09,median,NA,NA,calculated inverse of rate,NA,restrained chick,NA,14:10,lab,NA,NA,laboratory colonies originating from Kern County,unclear,
Reisen_1992,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,2,species,Cqui,Figure 5,25,9.09,median,NA,NA,calculated inverse of rate,NA,restrained chick,NA,14:10,lab,NA,NA,laboratory colonies originating from Kern County,unclear,
Reisen_1992,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,2,species,Cqui,Figure 5,30,7.69,median,NA,NA,calculated inverse of rate,NA,restrained chick,NA,14:10,lab,NA,NA,laboratory colonies originating from Kern County,unclear,
