citation_id,genus,pipiens_complex? ,(sub)species,ecotype,species_id,reasoning_species_id,experiment_id,experiment_distinguisher,distinguisher_value,figure,temperature,trait,statistic,SD,SE,extraction_note,humidity,photoperiod (L:D),mosquito_origin,location_collect,time_in_lab,lab_origin,pre_experiment_setup,Notes
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,15,4.1,mean,NA,0.06,,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation. Newly laid eggs were transfered to the specific temperature setting.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,17.5,3.1,mean,NA,0.05,,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation. Newly laid eggs were transfered to the specific temperature setting.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,20,2.9,mean,NA,0.05,,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation. Newly laid eggs were transfered to the specific temperature setting.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,22.5,2,mean,NA,0.03,,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation. Newly laid eggs were transfered to the specific temperature setting.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,25,2,mean,NA,0.03,,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation. Newly laid eggs were transfered to the specific temperature setting.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,27.5,1.5,mean,NA,0.09,,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation. Newly laid eggs were transfered to the specific temperature setting.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,30,1.3,mean,NA,0.08,,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation. Newly laid eggs were transfered to the specific temperature setting.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,32.5,0.9,mean,NA,0.08,,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation. Newly laid eggs were transfered to the specific temperature setting.",
Zayed_2019,Culex,yes,not specified,not specified,Cpip,cannot be resolved,2,NA,NA,Table 1,20,2.4,mean,0.15,NA,,NA,NA,lab,NA,"unclear for resistant and susceptible, laboratory population 7 generations",The susceptible and resistant populations were brought from The American Naval Medical Research 3 (NAMRU3) insectary and laboratory population was collected from field (unknown location),"26-28°C, 12 h:12 h light/dark period, 70-80% relative humidity",
Zayed_2019,Culex,yes,not specified,not specified,Cpip,cannot be resolved,2,NA,NA,Table 1,25,1.7,mean,0.15,NA,,NA,NA,lab,NA,"unclear for resistant and susceptible, laboratory population 7 generations",The susceptible and resistant populations were brought from The American Naval Medical Research 3 (NAMRU3) insectary and laboratory population was collected from field (unknown location),"26-28°C, 12 h:12 h light/dark period, 70-80% relative humidity",
Zayed_2019,Culex,yes,not specified,not specified,Cpip,cannot be resolved,2,NA,NA,Table 1,30,1.13,mean,0.08,NA,,NA,NA,lab,NA,"unclear for resistant and susceptible, laboratory population 7 generations",The susceptible and resistant populations were brought from The American Naval Medical Research 3 (NAMRU3) insectary and laboratory population was collected from field (unknown location),"26-28°C, 12 h:12 h light/dark period, 70-80% relative humidity",
Kiarie_2015,Culex,yes,pipiens pallens,NA,Cpal,unambigious,3,Species,Cpal,Table 2+3,20,2.19,mean,0.27,NA,,NA,12:12,lab,NA,several years,Kosin University Insectary,"27 ± 1 oC and 75 ± 5% RH, respectively and a 13:11 light and dark photoperiod.",
Kiarie_2015,Culex,yes,pipiens pallens,NA,Cpal,unambigious,3,Species,Cpal,Table 2+3,24,1.6,mean,0.23,NA,,NA,12:12,lab,NA,several years,Kosin University Insectary,"27 ± 1 oC and 75 ± 5% RH, respectively and a 13:11 light and dark photoperiod.",
Kiarie_2015,Culex,yes,pipiens pallens,NA,Cpal,unambigious,3,Species,Cpal,Table 2+3,28,1.12,mean,0.21,NA,,NA,12:12,lab,NA,several years,Kosin University Insectary,"27 ± 1 oC and 75 ± 5% RH, respectively and a 13:11 light and dark photoperiod.",
Kiarie_2015,Culex,yes,pipiens,molestus,Cmol,unambigious,4,Species,Cmol,Table 2+3,20,2.18,mean,0.28,NA,,NA,12:12,lab,NA,several years,Kosin University Insectary,"27 ± 1 oC and 75 ± 5% RH, respectively and a 13:11 light and dark photoperiod.",
Kiarie_2015,Culex,yes,pipiens,molestus,Cmol,unambigious,4,Species,Cmol,Table 2+3,24,1.5,mean,0,NA,,NA,12:12,lab,NA,several years,Kosin University Insectary,"27 ± 1 oC and 75 ± 5% RH, respectively and a 13:11 light and dark photoperiod.",
Kiarie_2015,Culex,yes,pipiens,molestus,Cmol,unambigious,4,Species,Cmol,Table 2+3,28,1.16,mean,0.28,NA,,NA,12:12,lab,NA,several years,Kosin University Insectary,"27 ± 1 oC and 75 ± 5% RH, respectively and a 13:11 light and dark photoperiod.",
Madder_1983,Culex,yes,not specified,not specified,Cpip,likely pipiens since origin in Canada,5,Species,Cpip,Table 3,15,3.5,mean,NA,NA,,NA,16:8,field,"Egg rafts were collected from artificial pools on the University of Guelph campus (43°30'N, 80°20'W)",NA,NA,Unclear,
