citation_id,genus,pipiens_complex? ,(sub)species,ecotype,species_id,reasoning_species_id,experiment_id,experiment_distinguisher,distinguisher_value,figure,temperature,trait,statistic,SD,SE,sample_size,extraction_note,exposure,adult food,humidity,photoperiod (L:D),mosquito_origin,location_collect,time_in_lab,lab_origin,pre_experiment_setup,Notes
Shriver_1964,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,1,NA,NA,Table 1,7.2,0,NA,NA,NA,unclear,only observed for 168h,after egg laying,"apples, blood feeding on chicks",NA,NA,lab,NA,unclear ,"egg rafts originated from a colony which had been maintained in the Department of Entomology, University of Maryland. Mosquitoes in this colony descended from the colony at the Walter Reed Army Institute of Research which has been identified as the Malayan strain.","80+-2 Fahrenheit, 78+-2% humidity. Females feed on young chickens",
Shriver_1964,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,1,NA,NA,Table 1,10,0,NA,NA,NA,unclear,only observed for 168h,after egg laying,"apples, blood feeding on chicks",NA,NA,lab,NA,unclear ,"egg rafts originated from a colony which had been maintained in the Department of Entomology, University of Maryland. Mosquitoes in this colony descended from the colony at the Walter Reed Army Institute of Research which has been identified as the Malayan strain.","80+-2 Fahrenheit, 78+-2% humidity. Females feed on young chickens",
Shriver_1964,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,1,NA,NA,Table 1,15.6,0,NA,NA,NA,unclear,only observed for 168h,after egg laying,"apples, blood feeding on chicks",NA,NA,lab,NA,unclear ,"egg rafts originated from a colony which had been maintained in the Department of Entomology, University of Maryland. Mosquitoes in this colony descended from the colony at the Walter Reed Army Institute of Research which has been identified as the Malayan strain.","80+-2 Fahrenheit, 78+-2% humidity. Females feed on young chickens",
Shriver_1964,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,1,NA,NA,Table 1,18.3,0.556,NA,NA,NA,1079,,after egg laying,"apples, blood feeding on chicks",NA,NA,lab,NA,unclear ,"egg rafts originated from a colony which had been maintained in the Department of Entomology, University of Maryland. Mosquitoes in this colony descended from the colony at the Walter Reed Army Institute of Research which has been identified as the Malayan strain.","80+-2 Fahrenheit, 78+-2% humidity. Females feed on young chickens",
Shriver_1964,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,1,NA,NA,Table 1,23.9,0.7,NA,NA,NA,1318,,after egg laying,"apples, blood feeding on chicks",NA,NA,lab,NA,unclear ,"egg rafts originated from a colony which had been maintained in the Department of Entomology, University of Maryland. Mosquitoes in this colony descended from the colony at the Walter Reed Army Institute of Research which has been identified as the Malayan strain.","80+-2 Fahrenheit, 78+-2% humidity. Females feed on young chickens",
Shriver_1964,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,1,NA,NA,Table 1,29.4,0.714,NA,NA,NA,1031,,after egg laying,"apples, blood feeding on chicks",NA,NA,lab,NA,unclear ,"egg rafts originated from a colony which had been maintained in the Department of Entomology, University of Maryland. Mosquitoes in this colony descended from the colony at the Walter Reed Army Institute of Research which has been identified as the Malayan strain.","80+-2 Fahrenheit, 78+-2% humidity. Females feed on young chickens",
Shriver_1964,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,1,NA,NA,Table 1,35,0.426,NA,NA,NA,1243,,after egg laying,"apples, blood feeding on chicks",NA,NA,lab,NA,unclear ,"egg rafts originated from a colony which had been maintained in the Department of Entomology, University of Maryland. Mosquitoes in this colony descended from the colony at the Walter Reed Army Institute of Research which has been identified as the Malayan strain.","80+-2 Fahrenheit, 78+-2% humidity. Females feed on young chickens",
Shriver_1964,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,1,NA,NA,Table 1,37.8,0,NA,NA,NA,unclear,only observed for 168h,after egg laying,"apples, blood feeding on chicks",NA,NA,lab,NA,unclear ,"egg rafts originated from a colony which had been maintained in the Department of Entomology, University of Maryland. Mosquitoes in this colony descended from the colony at the Walter Reed Army Institute of Research which has been identified as the Malayan strain.","80+-2 Fahrenheit, 78+-2% humidity. Females feed on young chickens",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,2,exposure,after egg laying,Figure 2,15,0.71,mean,NA,NA,unclear,CI available from Figure ,after egg laying,"10% sucrose, autogeneously laid",>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation. Newly laid eggs were transfered to the specific temperature setting.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,2,exposure,after egg laying,Figure 2,17.5,0.72,mean,NA,NA,unclear,CI available from Figure ,after egg laying,"10% sucrose, autogeneously laid",>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation. Newly laid eggs were transfered to the specific temperature setting.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,2,exposure,after egg laying,Figure 2,20,0.68,mean,NA,NA,unclear,CI available from Figure ,after egg laying,"10% sucrose, autogeneously laid",>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation. Newly laid eggs were transfered to the specific temperature setting.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,2,exposure,after egg laying,Figure 2,22.5,0.68,mean,NA,NA,unclear,CI available from Figure ,after egg laying,"10% sucrose, autogeneously laid",>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation. Newly laid eggs were transfered to the specific temperature setting.",
