citation_id,virus strain,genus,pipiens_complex? ,(sub)species,ecotype,species_id,reasoning_species_id,experiment_id,experiment_distinguisher,distinguisher_value,figure,way of infection,virus titer,quantity,temperature,sample size,dpi,nbr_positive,trait,extraction_note,food ,blood_source,humidity,photoperiod (L:D),mosquito_origin,location_collect,time_in_lab,lab_origin,pre_experiment_setup,Notes
Dohm_2002,NY99,Culex ,yes,pipiens,unclear,Cpip,unambigious,1,NA,NA,Table 1,feeding on viremic chicken,Viremias in the chickens at the time of mosquito feeding ranged from 106.6 to 107.3 PFU of virus per milliliter of blood,percantage infected of exposed,18,6,6,1,0.17,,NA,"3-d-old leghorn chickens, Gallus gallus L., subcutaneously inoculated 24 or 48 h previously with 103 PFU/ml of WN virus",high,16:8,field,Westchester New York,F3 and F4,NA,NA,nbr postive was reconstructed from sample size and percentage positive
Dohm_2002,NY99,Culex ,yes,pipiens,unclear,Cpip,unambigious,1,NA,NA,Table 1,feeding on viremic chicken,Viremias in the chickens at the time of mosquito feeding ranged from 106.6 to 107.3 PFU of virus per milliliter of blood,percantage infected of exposed,18,5,12,4,0.8,,NA,"3-d-old leghorn chickens, Gallus gallus L., subcutaneously inoculated 24 or 48 h previously with 103 PFU/ml of WN virus",high,16:8,field,Westchester New York,F3 and F4,NA,NA,nbr postive was reconstructed from sample size and percentage positive
Dohm_2002,NY99,Culex ,yes,pipiens,unclear,Cpip,unambigious,1,NA,NA,Table 1,feeding on viremic chicken,Viremias in the chickens at the time of mosquito feeding ranged from 106.6 to 107.3 PFU of virus per milliliter of blood,percantage infected of exposed,18,6,14,4,0.67,,NA,"3-d-old leghorn chickens, Gallus gallus L., subcutaneously inoculated 24 or 48 h previously with 103 PFU/ml of WN virus",high,16:8,field,Westchester New York,F3 and F4,NA,NA,nbr postive was reconstructed from sample size and percentage positive
Dohm_2002,NY99,Culex ,yes,pipiens,unclear,Cpip,unambigious,1,NA,NA,Table 1,feeding on viremic chicken,Viremias in the chickens at the time of mosquito feeding ranged from 106.6 to 107.3 PFU of virus per milliliter of blood,percantage infected of exposed,18,6,18,5,0.83,,NA,"3-d-old leghorn chickens, Gallus gallus L., subcutaneously inoculated 24 or 48 h previously with 103 PFU/ml of WN virus",high,16:8,field,Westchester New York,F3 and F4,NA,NA,nbr postive was reconstructed from sample size and percentage positive
Dohm_2002,NY99,Culex ,yes,pipiens,unclear,Cpip,unambigious,1,NA,NA,Table 1,feeding on viremic chicken,Viremias in the chickens at the time of mosquito feeding ranged from 106.6 to 107.3 PFU of virus per milliliter of blood,percantage infected of exposed,18,6,21,4,0.67,,NA,"3-d-old leghorn chickens, Gallus gallus L., subcutaneously inoculated 24 or 48 h previously with 103 PFU/ml of WN virus",high,16:8,field,Westchester New York,F3 and F4,NA,NA,nbr postive was reconstructed from sample size and percentage positive
Dohm_2002,NY99,Culex ,yes,pipiens,unclear,Cpip,unambigious,1,NA,NA,Table 1,feeding on viremic chicken,Viremias in the chickens at the time of mosquito feeding ranged from 106.6 to 107.3 PFU of virus per milliliter of blood,percantage infected of exposed,18,7,25,6,0.86,,NA,"3-d-old leghorn chickens, Gallus gallus L., subcutaneously inoculated 24 or 48 h previously with 103 PFU/ml of WN virus",high,16:8,field,Westchester New York,F3 and F4,NA,NA,nbr postive was reconstructed from sample size and percentage positive
Dohm_2002,NY99,Culex ,yes,pipiens,unclear,Cpip,unambigious,1,NA,NA,Table 1,feeding on viremic chicken,Viremias in the chickens at the time of mosquito feeding ranged from 106.6 to 107.3 PFU of virus per milliliter of blood,percantage infected of exposed,18,7,28,6,0.86,,NA,"3-d-old leghorn chickens, Gallus gallus L., subcutaneously inoculated 24 or 48 h previously with 103 PFU/ml of WN virus",high,16:8,field,Westchester New York,F3 and F4,NA,NA,nbr postive was reconstructed from sample size and percentage positive
Dohm_2002,NY99,Culex ,yes,pipiens,unclear,Cpip,unambigious,1,NA,NA,Table 1,feeding on viremic chicken,Viremias in the chickens at the time of mosquito feeding ranged from 106.6 to 107.3 PFU of virus per milliliter of blood,percantage infected of exposed,18,7,32,6,0.86,,NA,"3-d-old leghorn chickens, Gallus gallus L., subcutaneously inoculated 24 or 48 h previously with 103 PFU/ml of WN virus",high,16:8,field,Westchester New York,F3 and F4,NA,NA,nbr postive was reconstructed from sample size and percentage positive
Dohm_2002,NY99,Culex ,yes,pipiens,unclear,Cpip,unambigious,1,NA,NA,Table 1,feeding on viremic chicken,Viremias in the chickens at the time of mosquito feeding ranged from 106.6 to 107.3 PFU of virus per milliliter of blood,percantage infected of exposed,20,6,4,6,1,,NA,"3-d-old leghorn chickens, Gallus gallus L., subcutaneously inoculated 24 or 48 h previously with 103 PFU/ml of WN virus",high,16:8,field,Westchester New York,F3 and F4,NA,NA,nbr postive was reconstructed from sample size and percentage positive
Dohm_2002,NY99,Culex ,yes,pipiens,unclear,Cpip,unambigious,1,NA,NA,Table 1,feeding on viremic chicken,Viremias in the chickens at the time of mosquito feeding ranged from 106.6 to 107.3 PFU of virus per milliliter of blood,percantage infected of exposed,20,6,6,4,0.67,,NA,"3-d-old leghorn chickens, Gallus gallus L., subcutaneously inoculated 24 or 48 h previously with 103 PFU/ml of WN virus",high,16:8,field,Westchester New York,F3 and F4,NA,NA,nbr postive was reconstructed from sample size and percentage positive
