citation_id,genus,pipiens_complex? ,(sub)species,ecotype,species_id,reasoning_species_id,experiment_id,experiment_distinguisher,distinguisher_value,figure,temperature,trait,statistic,SD,SE,extraction_note,nutrients_type,nutrients_concentration,water_volume_at_larva_stage,humidity,photoperiod (L:D),mosquito_origin,location_collect,time_in_lab,lab_origin,pre_experiment_setup,Notes
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,15,45.1,mean,NA,0.33,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,17.5,36.9,mean,NA,0.56,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,20,31.1,mean,NA,0.32,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,22.5,21.1,mean,NA,0.44,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,25,15,mean,NA,0.26,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,27.5,13.7,mean,NA,0.28,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,30,13,mean,NA,0.17,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,32.5,10,mean,NA,0.31,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Zayed_2019,Culex,yes,not specified,not specified,Cpip,cannot be resolved,2,NA,NA,Table 1,20,16.1,mean,0.29,NA,trait and SD value calculated by combining larva and pupal stage data,fish food,unclear,unclear,NA,NA,lab,NA,"unclear for resistant and susceptible, laboratory population 7 generations",The susceptible and resistant populations were brought from The American Naval Medical Research 3 (NAMRU3) insectary and laboratory population was collected from field (unknown location),"26-28°C, 12 h:12 h light/dark period, 70-80% relative humidity",
Zayed_2019,Culex,yes,not specified,not specified,Cpip,cannot be resolved,2,NA,NA,Table 1,25,11.13,mean,0.22,NA,trait and SD value calculated by combining larva and pupal stage data,fish food,unclear,unclear,NA,NA,lab,NA,"unclear for resistant and susceptible, laboratory population 7 generations",The susceptible and resistant populations were brought from The American Naval Medical Research 3 (NAMRU3) insectary and laboratory population was collected from field (unknown location),"26-28°C, 12 h:12 h light/dark period, 70-80% relative humidity",
