citation_id,genus,pipiens_complex? ,(sub)species,ecotype,species_id,reasoning_species_id,experiment_id,experiment_distinguisher,distinguisher_value,figure,temperature,trait,statistic,sample_size,SE,extraction_note,nutrients_type,nutrients_concentration,water_volume_at_larva_stage,humidity,photoperiod (L:D),mosquito_origin,location_collect,time_in_lab,lab_origin,pre_experiment_setup,Notes
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Figure 2,15,0.38,mean,NA,NA,95% binomial CI available in Figure 2,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Figure 2,17.5,0.45,mean,NA,NA,95% binomial CI available in Figure 2,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Figure 2,20,0.43,mean,NA,NA,95% binomial CI available in Figure 2,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Figure 2,22.5,0.74,mean,NA,NA,95% binomial CI available in Figure 2,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Figure 2,25,0.89,mean,NA,NA,95% binomial CI available in Figure 2,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Figure 2,27.5,0.68,mean,NA,NA,95% binomial CI available in Figure 2,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Figure 2,30,0.46,mean,NA,NA,95% binomial CI available in Figure 2,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Figure 2,32.5,0.08,mean,NA,NA,95% binomial CI available in Figure 2,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,2,population,field,Table 1,16,0.92,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,2,population,field,Table 1,20,0.87,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,2,population,field,Table 1,24,0.87,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,2,population,field,Table 1,28,0.82,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,2,population,field,Table 1,32,0.83,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,3,population,lab,Table 1,16,0.87,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,3,population,lab,Table 1,20,0.77,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,3,population,lab,Table 1,24,0.61,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,3,population,lab,Table 1,28,0.83,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,3,population,lab,Table 1,32,0.46,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,4,population,field,Table 1,16,0.96,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,4,population,field,Table 1,20,0.84,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,4,population,field,Table 1,24,0.86,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,4,population,field,Table 1,28,0.95,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,4,population,field,Table 1,32,0.77,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,5,population,lab,Table 1,16,0.81,NA,400,NA,,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
